alert_constraint_fallback,alert_count,dataset,engine_count,f1,fn,fnr,fp,fpr,high_risk_count,high_risk_threshold,isolation_weight,normal_count,pr_auc,precision,recall,roc_auc,scope,selected,tn,tp,watchlist_count,watchlist_threshold,z_weight
,6,FD004,37,0.13333333333333333,8,0.8888888888888888,5,0.17857142857142858,3,0.8908045977011494,1.0,31,0.2513206674529713,0.16666666666666666,0.1111111111111111,0.4484126984126984,VALIDATION,,23,1,3,0.8425287356321838,0.0
,6,FD004,37,0.13333333333333333,8,0.8888888888888888,5,0.17857142857142858,2,0.8763218390804598,0.9,31,0.24552285765796655,0.16666666666666666,0.1111111111111111,0.46825396825396826,VALIDATION,,23,1,4,0.8093103448275862,0.1
,6,FD004,37,0.26666666666666666,7,0.7777777777777778,4,0.14285714285714285,2,0.8618390804597702,0.8,31,0.26783824765675945,0.3333333333333333,0.2222222222222222,0.4920634920634921,VALIDATION,,24,2,4,0.7790804597701149,0.2
,6,FD004,37,0.26666666666666666,7,0.7777777777777778,4,0.14285714285714285,2,0.8532183908045976,0.7,31,0.2886503542297356,0.3333333333333333,0.2222222222222222,0.503968253968254,VALIDATION,,24,2,4,0.7847126436781607,0.3
,6,FD004,37,0.26666666666666666,7,0.7777777777777778,4,0.14285714285714285,3,0.8482758620689655,0.6,31,0.2805845389178723,0.3333333333333333,0.2222222222222222,0.5337301587301587,VALIDATION,,24,2,3,0.7981609195402298,0.4
,6,FD004,37,0.26666666666666666,7,0.7777777777777778,4,0.14285714285714285,2,0.8373563218390805,0.5,31,0.3469487339390004,0.3333333333333333,0.2222222222222222,0.5773809523809523,VALIDATION,,24,2,4,0.8034482758620689,0.5
,6,FD004,37,0.26666666666666666,7,0.7777777777777778,4,0.14285714285714285,2,0.8388505747126437,0.4,31,0.3516886337975793,0.3333333333333333,0.2222222222222222,0.5873015873015873,VALIDATION,,24,2,4,0.8032183908045977,0.6
,6,FD004,37,0.26666666666666666,7,0.7777777777777778,4,0.14285714285714285,2,0.8368965517241378,0.30000000000000004,31,0.3720594220594221,0.3333333333333333,0.2222222222222222,0.6349206349206349,VALIDATION,,24,2,4,0.7958620689655171,0.7
,6,FD004,37,0.26666666666666666,7,0.7777777777777778,4,0.14285714285714285,2,0.8524137931034481,0.19999999999999996,31,0.3536593680071941,0.3333333333333333,0.2222222222222222,0.6507936507936508,VALIDATION,,24,2,4,0.8039080459770114,0.8
,6,FD004,37,0.26666666666666666,7,0.7777777777777778,4,0.14285714285714285,2,0.8716091954022988,0.09999999999999998,31,0.3581839402427638,0.3333333333333333,0.2222222222222222,0.6587301587301587,VALIDATION,,24,2,4,0.810919540229885,0.9
,6,FD004,37,0.26666666666666666,7,0.7777777777777778,4,0.14285714285714285,2,0.8954022988505747,0.0,31,0.356005291005291,0.3333333333333333,0.2222222222222222,0.6706349206349206,VALIDATION,,24,2,4,0.8137931034482758,1.0
False,3,FD002,39,0.16666666666666666,8,0.8888888888888888,2,0.06666666666666667,1,0.9692307692307692,1.0,36,0.21317859986590637,0.3333333333333333,0.1111111111111111,0.3740740740740741,INTERNAL_HOLDOUT_LOCKED,True,28,1,2,0.939010989010989,0.0
False,23,FD002,253,0.18181818181818182,37,0.8604651162790697,17,0.08095238095238096,2,0.9692307692307692,1.0,230,0.2102779325200901,0.2608695652173913,0.13953488372093023,0.5328349944629015,OFFICIAL_TEST_LOCKED,True,193,6,21,0.939010989010989,0.0
False,1,FD003,15,,3,1.0,1,0.08333333333333333,1,0.9042857142857142,1.0,14,0.2297979797979798,0.0,0.0,0.4722222222222222,INTERNAL_HOLDOUT_LOCKED,True,11,0,0,0.8428571428571429,0.0
False,16,FD003,100,0.1081081081081081,19,0.9047619047619048,14,0.17721518987341772,9,0.9042857142857142,1.0,84,0.1944841981495508,0.125,0.09523809523809523,0.4632308619650392,OFFICIAL_TEST_LOCKED,True,65,2,7,0.8428571428571429,0.0
False,10,FD004,38,0.20000000000000004,8,0.8,8,0.2857142857142857,6,0.8618390804597702,0.8,28,0.22515834015834016,0.2,0.2,0.3642857142857143,INTERNAL_HOLDOUT_LOCKED,True,20,2,4,0.7790804597701149,0.2
False,70,FD004,237,0.25,35,0.7,55,0.29411764705882354,35,0.8618390804597702,0.8,167,0.2481223698990604,0.21428571428571427,0.3,0.508288770053476,OFFICIAL_TEST_LOCKED,True,132,15,35,0.7790804597701149,0.2
